minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6186481724254548,32.47343442602992,15.948597973343801,36.06813090646402,7.912961131219399,17.602753617003547,13.083338252268113,28.652652029769214
0,Marvin the Martian,0.5960837226205837,34.87133425423857,15.63684988762203,30.00601600304625,6.509181567644298,23.492099944694235,15.155734661258183,23.72649240660151
0,Road Runner,0.6028013044978531,27.603461502027407,13.172801104184307,32.744746217718124,3.682839742463873,30.192371657260843,10.969891268582835,17.15388239546749
0,Foghorn Leghorn,0.6067952482723269,33.27735097679066,17.209103399221444,32.27455294695127,3.9795323308413417,16.35715198169402,14.784261383033954,29.203401720390133
0,Bugs Bunny,0.6310311297247516,35.28805450901172,15.91535502363752,34.710929152493236,5.547456432344573,26.006522805784105,12.227727883219174,23.04075566700061
0,Elmer Fudd,0.6186371131996533,29.22808609565541,16.379444416154737,35.526226523286155,6.37527708924925,22.24969449928008,15.18177026275226,28.188935225852433
0,Lola Bunny,0.6332835966909098,33.5301609687372,15.072631505587246,33.27961068193316,6.043704831860618,22.548324910503815,18.548964096662683,33.39950070543365
0,Porky Pig,0.6094007527458839,27.711318308781827,15.154057304539121,36.6143468471824,5.083895515718653,18.418635991640166,15.814106324666552,32.42207311795743
0,Tasmanian Devil,0.6013459506318796,31.135796703214172,14.77054235576912,33.855862348323406,5.108835862878025,23.132353089712893,11.633037530405174,22.131221399762943
0,Gossamer,0.6177038659675556,32.01185084658791,15.54191253196899,36.28631969420978,3.2826565318440486,16.383584531543708,16.096084439996943,35.00996845853575
0,Granny,0.6116948064941117,27.37242497934196,14.416498229760084,36.182192069472826,6.816360957074557,19.511412448207643,16.32313238435283,32.26543898772481
0,Wile E. Coyote,0.6324409381641083,35.15102611091329,14.736523945084173,36.41724228857395,6.772061850657456,25.161215740523094,13.137553569468784,26.264354088404147
0,Tweety,0.6236083319957404,29.76157719929503,14.116267945118187,38.82065056341907,6.852923939410446,28.659299227580757,11.583304485814079,22.671209562416927
0,Penelope,0.6068551984532481,28.847077199588874,16.203439173089446,31.306844981828743,9.902814900460113,17.501777197530753,12.63805918015296,23.575506655456337
0,Daffy Duck,0.634065324606615,30.997671704046084,14.554803960107085,34.26621410333077,5.047263138716252,14.273165692240392,13.817985108598398,32.88306873322547
12,Sylvester,0.6131506372443722,29.544300922109965,15.905504161379973,35.96172124567813,7.861270388418106,15.33900732235504,12.178022082730795,28.170276373355108
12,Marvin the Martian,0.6075879630757747,30.94803481947987,13.534680103254995,33.86441884266968,5.6987773152263355,17.643412550516086,14.653988271557019,30.606059295064476
12,Road Runner,0.6233473395851542,28.622125747743386,14.300691380494117,34.871139163967406,6.863987058162951,24.09132506645605,13.675072542838992,25.80636447175663
12,Foghorn Leghorn,0.6143613539756184,28.729010904724813,15.297197029494663,33.83790007112396,3.9983125121609717,17.794363532313234,17.709340604592626,34.35199221993668
12,Bugs Bunny,0.6294137270637211,34.27424426450311,16.964069262998954,34.42195114048874,3.7533915398694444,18.225440205187695,14.915659162682552,31.09407082894316
12,Elmer Fudd,0.6134671039588703,30.589951440252815,16.48405111145058,36.15627865501561,7.041625224402058,23.576525438763934,16.456790412514955,29.128306243994963
12,Lola Bunny,0.6306506930918075,31.321937868398155,14.21203406471695,35.12948161720398,2.606823664040182,26.48104595786597,17.049966918803904,30.965025432951833
12,Porky Pig,0.6092345259715636,32.215543317860686,16.16688039771827,34.15419286277402,5.857232150044458,18.18778597956314,14.65784567723719,29.162561816025217
12,Tasmanian Devil,0.6071470074508599,23.805698245348164,14.33744419859333,34.08366215161087,6.558643162104099,24.049327024079687,8.404341890669226,16.704273061526102
12,Gossamer,0.6261142917054489,32.36860581510711,16.664447149584102,34.15905140227982,6.691484778221159,19.136348680772596,14.549096835433062,28.91718925931699
12,Granny,0.6323196923574529,29.427414179734555,13.360612460005827,38.12131442913744,5.708843333642344,20.85128881392375,14.418279497080775,32.194918741532824
12,Wile E. Coyote,0.6113519867386048,29.91509218632965,14.349853021636692,33.541709693115784,4.088002294318402,21.19463552110367,13.483265157627246,26.651707016310944
12,Tweety,0.6067393150423565,24.820761626779458,14.478671624122697,32.097112112577605,8.538983475579201,23.05745776702422,11.57594179449098,20.032113288063755
12,Penelope,0.613310208598419,29.015426195470624,14.455624393310922,29.263249720573167,8.01476133911599,10.498114372092106,9.176648317716818,23.715272119710157
12,Daffy Duck,0.634106513937384,29.13236265479244,15.128216802296217,32.91110041701449,7.534239912829149,14.24699442743617,15.118313504038184,32.768168695557456
24,Sylvester,0.6225004995837793,29.91815565437964,14.71892458928992,35.671535134463646,7.8153967175454016,20.094803271106823,13.781152294304938,28.516475109021194
24,Marvin the Martian,0.6129649240978872,34.398058704346695,14.626507754135678,29.65336329940423,7.461751610545626,27.355527382471102,16.290605421410067,23.93500620988342
24,Road Runner,0.6182997713646742,30.575198752921708,13.879597915569798,34.321464391708965,6.345858515145421,30.550133425873625,12.819756019437607,20.557834658452627
24,Foghorn Leghorn,0.6198218298478282,31.121078083875542,15.012276045485649,37.49395054259367,6.134997945774699,18.972623437822737,14.895934853752486,32.075127880964295
24,Bugs Bunny,0.6380953066293218,27.97550160543886,15.315762426099518,36.259844331349925,7.489870941422339,21.303913704280806,12.771418756354693,27.16519897918915
24,Elmer Fudd,0.6193553750661237,31.778206935967702,16.22286612742614,39.301379981072486,4.841193648670396,27.642580828665295,15.344827225071523,28.09990992306058
24,Lola Bunny,0.6515186182531542,32.711558163495475,15.025942660070717,37.716650253187765,2.3417809344829443,18.01289958165457,17.471710343798694,39.28479863273555
24,Porky Pig,0.6131976747476628,32.748343365089376,15.573840053909619,36.84698727197957,5.281168977895887,20.964689224758004,14.983628795367768,30.260167586484393
24,Tasmanian Devil,0.6257387277013389,25.86938575111508,15.491963379394438,36.97894568185898,8.219075332455766,20.448451036374532,9.76594937138836,22.762038008645533
24,Gossamer,0.6310684138286252,31.22085759118782,15.945993816626428,32.467290794623615,5.4641711953672685,20.307359460760015,15.734868568222954,29.701354869459273
24,Granny,0.6013667771801156,29.10014681585596,13.217011659766769,35.35129353699924,6.486510580996447,25.439586581354135,14.854498781370241,26.388541497884596
24,Wile E. Coyote,0.5931173011453692,31.363076716071834,13.17377839188162,35.6515680177812,4.806659517305848,20.018429448870837,14.119817413373175,29.105231472850214
24,Tweety,0.6073760876343006,23.389382349409747,12.77243353783371,36.33538546765097,6.7335575251647874,21.324754206979666,12.11143869352222,25.68512852858992
24,Penelope,0.6106420152551211,25.303848066973497,16.006817726227258,27.25886299639488,9.199836783908417,16.486166212075524,13.7819665856131,23.520751101544334
24,Daffy Duck,0.6261223591264089,29.90419094729593,14.143178815416206,35.370754113006576,5.638570263819365,20.955175077375095,14.414533931417932,29.75414023371976
36,Sylvester,0.619000598762542,35.7673854094784,14.997934657359696,34.247613157454936,8.013127798786511,17.45655708256232,9.903317381725438,24.0861634877295
36,Marvin the Martian,0.5998720581578196,32.715802767594504,14.476311245777211,30.996361052815594,7.492943409299432,23.844653883679115,10.624123751149764,18.21323650978512
36,Road Runner,0.61329853612634,30.507884175779,14.724724620436747,38.23660143813912,6.573796068848927,23.75630346935885,13.482814171721373,27.213118839169155
36,Foghorn Leghorn,0.6152350370025323,28.424874589219637,15.591664109508802,30.243718891846513,6.186543495569547,25.765304157659983,15.607319003453087,23.650418019723936
36,Bugs Bunny,0.611126024938248,32.360543047485216,16.10559379561617,34.14637972203227,7.651368923035829,26.79192035263938,12.18135140456771,20.096118036489216
36,Elmer Fudd,0.6055676878046982,30.03296587637418,16.861129178519228,34.906513236420395,4.417977528428659,25.043425034517227,17.041720101236745,28.227248926428977
36,Lola Bunny,0.6248546239078324,31.991165543718438,14.716264236784285,36.97480666445141,3.3542696553032743,21.841231992856773,16.60016489391322,33.58777594833378
36,Porky Pig,0.5970909917929764,30.098042264518117,14.299173669530953,34.93912810212244,5.563233267048162,18.917470955098853,14.613372503344442,29.331643040659543
36,Tasmanian Devil,0.6047459703042612,25.24626498253547,14.876698304881856,37.02195971109951,5.4369296597234085,21.415719400250726,7.242312539238993,18.46933779444028
36,Gossamer,0.6063924518729534,32.02272679788264,16.500184162783786,35.42385944981813,4.767883012118996,18.89500353055883,14.94515974972986,29.79111508661439
36,Granny,0.6036798038875757,25.14051512887974,13.606755192838168,38.848815936601945,7.304662375335854,19.109813875911208,14.234239361886747,30.863688302456097
36,Wile E. Coyote,0.6107477205533499,30.173696249069017,13.308173665222485,36.14007928403665,4.890884180867479,23.122678813071563,13.049088487841438,26.779905254800354
36,Tweety,0.5940252402271594,28.452836110833292,13.279342644376259,33.985481565877066,8.606507817580367,25.950971099919045,8.427244031375658,15.283345738711468
36,Penelope,0.6095309280590484,23.545888424267698,16.363888125121353,29.36606194195342,9.442572286549868,17.97224513068424,11.788102862871343,20.599048670523516
36,Daffy Duck,0.6222811708427843,27.232751802828755,15.29593018654461,36.24323613934091,6.016631882864738,21.94925584879247,15.414117859777551,29.830970001760967
